Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year,YEAR,NaN
GapFilledANN_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,ANN_inbnds,NaN,NaN,NaN,GEP_filled_ANN_inbounds,GEP_filled_ANN_inbounds,NaN,GEP_filled_ANN_inbounds,NaN,NaN
GapFilledANN_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,ANN_inbnds,NaN,NaN,NaN,R_filled_ANN_inbounds,R_filled_ANN_inbounds,NaN,R_filled_ANN_inbounds,NaN,NaN
GapFilledANN_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,ANN_inbnds,NaN,NaN,NaN,NEE_filled_ANN_inbounds,NEE_filled_ANN_inbounds,NaN,NEE_filled_ANN_inbounds,NaN,NaN
Kljun_Regional_70flag,flag,Kljun_all70,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_70flag,Kljun_Regional_70flag,Kljun_Regional_70flag,NaN,Kljun_Regional_70flag,NaN,NaN
Kljun_Regional_80flag,flag,Kljun_all80,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_80flag,Kljun_Regional_80flag,Kljun_Regional_80flag,NaN,Kljun_Regional_80flag,NaN,NaN
Kljun_Regional_90flag,flag,Kljun_all90,footprint,Final_Calculated,NaN,NaN,Kljun_Regional_90flag,Kljun_Regional_90flag,Kljun_Regional_90flag,NaN,Kljun_Regional_90flag,NaN,NaN
Kljun_SiteOnly_70flag,flag,Kljun70,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_70flag,Kljun_SiteOnly_70flag,Kljun_SiteOnly_70flag,NaN,Kljun_SiteOnly_70flag,NaN,NaN
Kljun_SiteOnly_75flag,flag,Kljun75,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_75flag,Kljun_SiteOnly_75flag,Kljun_SiteOnly_75flag,NaN,Kljun_SiteOnly_75flag,NaN,NaN
Kljun_SiteOnly_80flag,flag,Kljun80,footprint,Final_Calculated,NaN,NaN,Kljun_SiteOnly_80flag,Kljun_SiteOnly_80flag,Kljun_SiteOnly_80flag,NaN,Kljun_SiteOnly_80flag,NaN,NaN
TBRG_Rain_2m,mm,TPD_PPT_filled,ppt,Final_Filled,NaN,NaN,TPD_PPT_filled,TPD_PPT_filled,TPD_PPT_filled,TPD_PPT_filled,TPD_PPT_filled,PREC,NaN
VapourPressureDeficit_AbvCnpy,hPa,VPD,met,Final_Filled,NaN,%6.4f,VPD,VPD,VPD,VPD,VPD,VPD,VPD_F
